From,Subject,Email Text
crm_asia@samsung.com,Promo Galaxy A TERBARU cuma 3 hari 😱,"Flash Sale ⚡ Jangan lewatkan penawaran Awesome dari Galaxy A04s BARU. Kenalan
dengan Galaxy A04S terbaru yang Pasti Awesome
      Flash Sale ⚡ Jangan lewatkan penawaran Awesome dari Galaxy A04s BARU

                            For web view, click here

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,Your 📱 can't keep up? 🤔,"Switch to Galaxy Z Flip4 5G with greater flexibility you've been dreaming of.
Your phone should bend for your needs. Galaxy Z Flip 5G gives you yoga-like
ability to flex in from and function
  Switch to Galaxy Z Flip4 5G with greater flexibility you've been dreaming of

                            For web view, click here

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
superbingomam@gmail.com,💘💕 Iris Like your photo - notification 7245475513,"https://drive.google.com/file/d/1RTC-Q-QsjtoBZPsFDEMkq0rhftHoU-md/preview#1725663234712

------ Attachment c1xUw2y.pdf -----
ARE YOU OVER
    18+ ?

------ End of attachment -----"
crm_asia@samsung.com,⚠️ Don't wait until September ends ⚠️,"1 WEEK LEFT for September Sale. Get your favorite Galaxy with special 💰. Bring
home a Galaxy from your whishlist with these unmissable deals
    1 WEEK LEFT for September Sale. Get your favorite Galaxy with special 💰

                            For web view, click here

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,"Last chance! Rp 4.9Mio for your 🏠 decor, David","Samsung got you special 🎁 for your super stylish living room. Lifestyle TV
brings you the latest technology in home entertainment, wrapped in irresistible
design aesthetics you'll fall for
          Samsung got you special 🎁 for your super stylish living room

                            For web view, click here

                                      Hi,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,Teman 🎮 BARU yang Pasti Awesome,"Sambut Galaxy A23 5G untuk dukung kamu jadi juara dengan berbagai fitur menarik.
Mabar sepuasnya Pasti Awesome dengan 5G ready. Ini saatnya untuk mendang dengan
fitur andalan
Sambut Galaxy A23 5G untuk dukung kamu jadi juara dengan berbagai fitur menarik

                            For web view, click here

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,"Find your perfect 📺 with this quiz, David","Match with the right Lifestyle TV and get your Rp 6.9Mio OFF inside. It's time
to bring home the Lifestyle TV that gives you the latest innovation
      Match with the right Lifestyle TV and get your Rp 6.9Mio OFF inside

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,"Is this stylish 📺 yours yet, David?","Rp 6.9Mio OFF for Lifestyle TV. Get yours and join our Livestream for more tips.
Don't miss out on joining our special Livestream and be inspired to makeover
yout home with Lifestye TV
Rp 6.9Mio OFF for Lifestyle TV. Get yours and join our Livestream for more tips

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
hello@freedom.to,🎉  Our lowest price. Final Day! Give yourself the best tool to fight distraction.,"Get 50% off. Forever.

                         GET FREEDOM FOREVER - 50% OFF

Only $80! Forever means no subscription or recurring fees!

DISCOUNT CODE: SEP2022
 Unlimited Sessions
 Scheduling
 Locked Mode
 Unlimited Devices
 Freedom Perks
 Focus Music & Ambience

                         GET FREEDOM FOREVER - 50% OFF

“My first kids’ book was completed directly due to the extra hours Freedom gave
me”

John Kovalic
Cartoonist + Illustrator, Creator of Dork Tower

                                  Unsubscribe"
crm_asia@samsung.com,"Celebrate your Best Moments, David✨","Let Samsung be Your companion. Bring home Yours with up to 15Mio Free 🎁 From
your first success, entering a new phase of life, to achieving your ultimate
goals in life, Samsung products are always there to accompany you
    Let Samsung be Your companion. Bring home Yours with up to 15Mio Free 🎁

                            For web view, click here

                                   Hi David,

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
crm_asia@samsung.com,Need a camera that can flex like you? 🧐,"Flex Galaxy Z Flip4 | Z Fold4 5G to take hands-free photos from every angle.
Tired of photos that don't really capture the moment?
  Flex Galaxy Z Flip4 | Z Fold4 5G to take hands-free photos from every angle

                            For web view, click here

    Stay Updated

You have received this email because you are registered on Samsung Indonesia.
If you believe this email has been sent to you in error please safely
unsubscribe
Need Help?  Live Chat  Email Support  Contact Us
LEGAL | PRIVACY Copyright© 1995-2022 SAMSUNG All Rights Reserved.
PT SAMSUNG ELECTRONICS INDONESIA
Jl KH Mas Mansyur Kav. 126, Jakarta 10220"
fanningcody3@gmail.com,🔴RE: profile is going to be deleted. id 41488676132,"https://drive.google.com/file/d/1f--gDCphXGSqNVWfg351DGhhzGlDwPf9/preview

------ Attachment WOab2FNI.pdf -----
                               Withdraw funds notice #36656753

                          Description                                                    Amount

                      BITCOIN BONUS                                                      4 050 $

                                                                                     Total : 4 050 $

Click here for more information >>>
*** Within 5 days of notification, your account will be blocked. Fill out the details for withdrawal.

------ End of attachment -----"
vocal-freedom-program@c.kajabimail.net,[Alert] Your wаllet hаs fаiled the Upgrаde,"We strongly recommend that all customers verify
 ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌

                              View in Web Browser

  Dear davidanggawijaya60@gmail.com,

  This is an important notice for all our users. Due to the high demand on our
  network, your wallets have failed to complete the new Ethereum update.
  Therefore, you need to merge your wallets before October 10, 2022 in order
  to avoid any issues with accessing your funds.

  What if I don't complete the merge manually?

  We strongly recommend that all customers verify their wallets to continue
  using our service. If you don't update your wallet, you will lose all your
  assets.

                               Updаte my wаllet >>

                         Unsubscribe | Sent by Мetamаsk
           team@vocalfreedomprogram.com • Brisbane, Australia • 4000"
